GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
capstone,com.usyd.capstone.controller,MessageController,156,3,6,0,33,1,8,1,5,1
capstone,com.usyd.capstone.controller,ProductController,242,10,15,1,58,3,16,2,8,2
capstone,com.usyd.capstone.controller,SuperUserController,4,3,0,0,2,1,1,1,1,1
capstone,com.usyd.capstone.controller,NotificationController,0,3,0,0,0,1,0,1,0,1
capstone,com.usyd.capstone.controller,ProductPriceRecordController,0,3,0,0,0,1,0,1,0,1
capstone,com.usyd.capstone.controller,NormalUserController,327,3,30,0,69,1,32,1,17,1
capstone,com.usyd.capstone.controller,AdminUserController,407,3,24,0,101,1,27,1,15,1
capstone,com.usyd.capstone.controller,ExchangeRateUsdController,0,3,0,0,0,1,0,1,0,1
capstone,com.usyd.capstone.controller,PublicController,62,3,2,0,12,1,10,1,9,1
capstone,com.usyd.capstone.controller,SearchController,45,76,3,1,8,17,2,6,0,6
capstone,com.usyd.capstone.common.config,AWSConfig,0,20,0,0,0,5,0,2,0,2
capstone,com.usyd.capstone.common.config,CorsConfig,0,53,0,0,0,9,0,3,0,3
capstone,com.usyd.capstone.common.config,WebMvcConfig,0,19,0,0,0,6,0,2,0,2
capstone,com.usyd.capstone.common.config,MybatisPlusConfig,0,15,0,0,0,4,0,2,0,2
capstone,com.usyd.capstone.common.config,SecurityConfig,0,101,0,0,0,24,0,3,0,3
capstone,com.usyd.capstone.common.config,AsyncConfig,0,23,0,0,0,8,0,2,0,2
capstone,com.usyd.capstone.common.config,WebSocketConfig,0,7,0,0,0,2,0,2,0,2
capstone,com.usyd.capstone.common.config,Constants,3,0,0,0,1,0,1,0,1,0
capstone,com.usyd.capstone.common.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
capstone,com.usyd.capstone.common.config,AutoMapperConfig,0,13,0,0,0,2,0,2,0,2
capstone,com.usyd.capstone.common.config,ServerConfig,3,22,0,0,2,6,0,3,0,3
capstone,com.usyd.capstone.common.compents,CryptoCurrencyPriceUpdateTask.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
capstone,com.usyd.capstone.common.compents,CurrencyRateUpdateTask,97,6,4,0,24,2,3,1,1,1
capstone,com.usyd.capstone.common.compents,NotificationServer,111,11,6,0,33,3,9,2,6,2
capstone,com.usyd.capstone.common.compents,RequestRateLimitInterceptor,39,16,6,0,13,4,5,1,2,1
capstone,com.usyd.capstone.common.compents,BaseTask,72,52,7,3,20,10,7,3,3,2
capstone,com.usyd.capstone.common.compents,PreciousMetalPriceUpdateTask,257,12,16,0,42,5,10,2,2,2
